Day,Gift,Quanity
1,A Partridge in a Pear Tree,1
2,Turtle Doves,2
2,A Partridge in a Pear Tree,1
3,French Hens,3
3,Turtle Doves,2
3,A Partridge in a Pear Tree,1
4,Calling Birds,4
4,French Hens,3
4,Turtle Doves,2
4,A Partridge in a Pear Tree,1
5,Golden Rings,5
5,Calling Birds,4
5,French Hens,3
5,Turtle Doves,2
5,A Partridge in a Pear Tree,1
6,Geese a Laying,6
6,Golden Rings,5
6,Calling Birds,4
6,French Hens,3
6,Turtle Doves,2
6,A Partridge in a Pear Tree,1
7,Swans a Swimming,7
7,Geese a Laying,6
7,Golden Rings,5
7,Calling Birds,4
7,French Hens,3
7,Turtle Doves,2
7,A Partridge in a Pear Tree,1
8,Maids a Milking,8
8,Swans a Swimming,7
8,Geese a Laying,6
8,Golden Rings,5
8,Calling Birds,4
8,French Hens,3
8,Turtle Doves,2
8,A Partridge in a Pear Tree,1
9,Ladies Dancing,9
9,Maids a Milking,8
9,Swans a Swimming,7
9,Geese a Laying,6
9,Golden Rings,5
9,Calling Birds,4
9,French Hens,3
9,Turtle Doves,2
9,A Partridge in a Pear Tree,1
10,Lords a Leaping,10
10,Ladies Dancing,9
10,Maids a Milking,8
10,Swans a Swimming,7
10,Geese a Laying,6
10,Golden Rings,5
10,Calling Birds,4
10,French Hens,3
10,Turtle Doves,2
10,A Partridge in a Pear Tree,1
11,Pipers Piping,11
11,Lords a Leaping,10
11,Ladies Dancing,9
11,Maids a Milking,8
11,Swans a Swimming,7
11,Geese a Laying,6
11,Golden Rings,5
11,Calling Birds,4
11,French Hens,3
11,Turtle Doves,2
11,A Partridge in a Pear Tree,1
12,Drummers Drumming,12
12,Pipers Piping,11
12,Lords a Leaping,10
12,Ladies Dancing,9
12,Maids a Milking,8
12,Swans a Swimming,7
12,Geese a Laying,6
12,Golden Rings,5
12,Calling Birds,4
12,French Hens,3
12,Turtle Doves,2
12,A Partridge in a Pear Tree,1
